name,population,color
John Arnold,0.3,#E41A1C
Harry Arora,0.300222105436744,#009933
Eric Bass,0.303603678188878,#FF7F00
Don Baughman Jr.,0.303194995459346,#009933
Robert Benson,0.303011161237543,#009933
Sandra F. Brawner,0.309537625011249,#DEB887
Larry Campbell,0.300007091160022,#AFEEEE
Sean Crandall,0.33641469425819,#984EA3
Martin Cuilla,0.3,#377EB8
Jeff Dasovich,0.3,#FFFF00FF
Dana Davis,0.855660953326921,#4B0082
Tom Donohoe,0.301070990870647,#377EB8
Lisa Gang,0.322626749775209,#984EA3
Chris Germany,0.300352441295104,#DEB887
Doug Gilbert-Smith,0.300127726736994,#009933
John Griﬃth,0.300016580268854,#E41A1C
Mark Guzman,0.313827649091836,#4682B4
Steven Harris,0.537062552612836,#AFEEEE
Rod Hayslett,0.300962671740946,#AFEEEE
Marie Heard,0.301334824151987,#FF4600FF
Scott Hendrickson,0.30624339613792,#DEB887
Kevin Hyatt,0.301084107889665,#AFEEEE
Dan J. Hyvl,0.300104639962589,#FF4600FF
Vince J. Kaminski,0.311404987413584,#FFFF60FF
Peter F. Keavey,0.30382849834438,#DEB887
Jeff King,0.302213806395618,#009933
Tori Kuykendall,0.311469446794909,#FFFF9FFF
John J. Lavorato,0.300577869396165,#FFFF60FF
Matthew Lenhart,0.3,#FFFF9FFF
Andrew H. Lewis,0.30411644093157,#377EB8
Teb Lokey,0.300356440548063,#AFEEEE
Phillip M. Love,0.300015439874778,#FF7400FF
Paul T. Lucci,0.300325791196631,#FFFF9FFF
Mike Maggi,0.300180493432539,#E41A1C
Thomas A. Martin,0.300349367244658,#FF7F00
Danny McCarty,0.30000486087523,#AFEEEE
Mark McConnell,0.3000480356552,#AFEEEE
Mike McConnell,0.300164225180353,#FFFF60FF
Brad McKay,0.300898153816948,#DEB887
Errol McLaughlin Jr.,0.300016592200456,#FF7400FF
Matt Motley,0.300030086208558,#4682B4
Gerald Nemec,0.300556570842531,#FF4600FF
Stephanie Panus,0.306282848507552,#FF4600FF
Joe Parks,0.308827517907102,#377EB8
Vladi Pimenov,0.301219166460832,#DEB887
Joe Quenet,0.300572852101196,#009933
Bill Rapp,0.301133405689948,#AFEEEE
Jay Reitmeyer,0.300683868871351,#FFFF9FFF
Richard Ring,0.3,#FFFFDFFF
Eric Saibi,0.300292764900163,#009933
Richard B. Sanders,0.301542069160138,#FF4600FF
Diana Scholtes,0.3,#984EA3
Darrell Schoolcraft,0.3,#AFEEEE
Jim Schwieger,0.303754463669139,#FF7F00
Susan Scott,0.3,#AFEEEE
Susan M. Scott,0.343174296221397,#FFFF9FFF
Cara Semperger,0.300066900591986,#984EA3
Sara Shackleton,0.3,#FF4600FF
Jeffrey A. Shankman,0.308898294583576,#FFFF60FF
Richard Shapiro,0.300043944051639,#FFFF00FF
Hunter S. Shively,0.431097190995202,#377EB8
Jeff Skilling,0.3,#FFB900FF
Ryan Slinger,0.3,#4682B4
Carol St Clair,0.300141512219766,#FF4600FF
Joe Stepenovitch,0.424728331289888,#009933
Mike Swerzbin,0.3,#984EA3
Paul D. Thomas,0.313282660536483,#009933
Barry Tycholiz,0.300007912237705,#FFFF9FFF
Kim S. Ward,0.321355543685965,#FFFF9FFF
V Charles Weldon,0.300494263919687,#FF7F00
Stacey W. White,0.300249295890542,#FF7400FF
Jason Williams,0.304615948304518,#377EB8
Bill Williams III,0.30005752247947,#4682B4
John Zufferli,0.300404940725346,#FFFF60FF
